               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10003,            0.065557,            0.033355,          0.00085876,            0.040502,          0.00047057,           0.0001122,             0.10615,             0.15994,            0.040392,            0.003329,            0.003329,            0.070039
                   1,            0.092683,            0.069827,            0.027501,            0.005593,           0.0086333,          0.00080373,          0.00016836,            0.099974,             0.09373,            0.034844,           0.0066293,           0.0066293,            0.040006
                   2,            0.089563,            0.065072,            0.021499,             0.67992,             0.03664,           0.0041513,          0.00079593,            0.090977,            0.056486,             0.02292,           0.0098967,           0.0098967,           0.0099402
                   3,             0.08406,            0.059647,            0.017587,             0.73145,            0.067024,            0.026691,           0.0076414,            0.087796,            0.055546,            0.021834,           0.0098515,           0.0098515,           0.0098515
                   4,            0.078582,            0.062778,            0.016509,             0.77319,            0.093834,            0.060799,            0.019058,            0.063181,            0.056031,            0.016221,           0.0098515,           0.0098515,           0.0098515
                   5,            0.072447,             0.06035,            0.016363,             0.75817,             0.12332,             0.06534,            0.017516,            0.058046,            0.055498,            0.015152,            0.009802,            0.009802,            0.009802
                   6,            0.067155,            0.057152,            0.015394,             0.79193,             0.13673,             0.13548,            0.043779,            0.056279,            0.051978,            0.014385,           0.0097525,           0.0097525,           0.0097525
                   7,             0.06429,            0.060507,            0.016134,             0.80863,             0.13657,             0.11355,            0.041855,            0.052174,            0.053114,            0.013565,            0.009703,            0.009703,            0.009703
                   8,            0.060145,            0.056428,            0.015025,             0.84693,             0.16711,             0.16387,            0.056106,            0.049987,            0.046637,            0.012109,           0.0096535,           0.0096535,           0.0096535
                   9,            0.057734,            0.054234,            0.013948,             0.85247,             0.18141,             0.19061,             0.08004,            0.047187,            0.045401,            0.012056,            0.009604,            0.009604,            0.009604
                  10,            0.056916,            0.052721,            0.013641,             0.51284,             0.30079,             0.21219,            0.072107,            0.050155,            0.043619,            0.010985,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055935,            0.049989,            0.013297,             0.67439,              0.3154,             0.30755,             0.12515,            0.042579,            0.042151,            0.010514,            0.009505,            0.009505,            0.009505
                  12,            0.051417,            0.051421,            0.012174,             0.59394,             0.28262,             0.22463,            0.082518,            0.046825,            0.047023,            0.010822,           0.0094555,           0.0094555,           0.0094555
                  13,            0.050152,            0.048641,            0.011418,             0.83898,              0.3293,             0.36329,              0.1681,            0.040113,            0.044262,           0.0096254,            0.009406,            0.009406,            0.009406
                  14,            0.050645,            0.048581,            0.010653,             0.75067,             0.30882,             0.35568,             0.16152,            0.040524,            0.041519,            0.008789,           0.0093565,           0.0093565,           0.0093565
                  15,            0.049016,             0.04804,            0.010669,             0.76639,             0.31298,             0.35372,             0.16282,            0.040393,            0.038682,            0.010092,            0.009307,            0.009307,            0.009307
                  16,            0.047701,            0.046471,             0.01023,             0.73757,             0.33233,             0.35036,             0.16339,            0.037419,            0.039757,           0.0086028,           0.0092575,           0.0092575,           0.0092575
                  17,            0.044757,            0.045034,            0.010264,             0.77507,             0.34425,             0.36966,              0.1689,            0.038472,            0.038539,           0.0092595,            0.009208,            0.009208,            0.009208
                  18,            0.045324,            0.043501,           0.0099686,              0.8342,             0.34635,             0.40781,             0.20677,            0.036469,            0.037129,           0.0078058,           0.0091585,           0.0091585,           0.0091585
                  19,            0.042995,            0.043197,            0.010082,               0.778,             0.39366,             0.40507,             0.19741,            0.035928,            0.036705,           0.0080948,            0.009109,            0.009109,            0.009109
                  20,            0.043466,             0.04303,            0.009559,             0.85554,             0.34652,               0.435,             0.20161,            0.038006,            0.036837,           0.0087457,           0.0090595,           0.0090595,           0.0090595
                  21,            0.042842,            0.042151,           0.0088979,             0.88277,              0.3625,             0.45559,             0.22974,            0.034258,            0.035599,           0.0080322,             0.00901,             0.00901,             0.00901
                  22,            0.043046,            0.044544,           0.0091149,             0.81844,             0.42046,              0.4812,             0.25308,            0.032081,            0.035341,             0.00735,           0.0089605,           0.0089605,           0.0089605
                  23,            0.040683,            0.042115,           0.0095542,             0.80985,             0.37682,             0.46768,             0.25239,            0.032795,            0.036033,           0.0075538,            0.008911,            0.008911,            0.008911
                  24,            0.039424,            0.038928,           0.0091211,             0.82114,              0.4113,             0.50472,             0.23209,            0.035645,            0.035253,           0.0076128,           0.0088615,           0.0088615,           0.0088615
                  25,            0.039507,            0.041348,            0.008489,             0.90776,             0.38113,             0.46149,             0.25043,            0.032887,            0.034485,           0.0070735,            0.008812,            0.008812,            0.008812
                  26,            0.039865,            0.041595,           0.0084716,             0.87107,             0.39628,             0.50893,             0.27475,            0.032523,            0.034469,           0.0071634,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039382,            0.040453,           0.0083011,             0.81899,             0.40707,             0.46694,             0.23641,            0.032066,            0.034503,           0.0076641,            0.008713,            0.008713,            0.008713
                  28,            0.037484,            0.040323,           0.0076593,             0.86622,             0.41265,             0.50945,             0.26485,            0.034341,            0.033252,            0.006594,           0.0086635,           0.0086635,           0.0086635
                  29,            0.038045,            0.038537,           0.0082639,             0.89995,             0.39276,             0.49877,             0.26468,            0.031396,            0.033018,           0.0073275,            0.008614,            0.008614,            0.008614
                  30,             0.03821,            0.041476,           0.0081522,             0.85279,             0.43803,             0.56268,             0.29587,            0.030648,            0.033309,           0.0067692,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03673,             0.03938,            0.008085,             0.88786,             0.43243,             0.49398,             0.26798,            0.031253,            0.032589,           0.0068826,            0.008515,            0.008515,            0.008515
                  32,            0.035897,            0.040295,           0.0085162,             0.90261,             0.41023,             0.53918,             0.30707,            0.029312,            0.032231,           0.0068082,           0.0084655,           0.0084655,           0.0084655
                  33,            0.036202,            0.040033,           0.0084758,             0.91298,             0.39687,             0.53201,             0.29694,            0.030727,            0.033256,           0.0063778,            0.008416,            0.008416,            0.008416
                  34,            0.035673,            0.038172,           0.0078797,             0.83876,             0.45402,             0.56129,             0.29725,             0.03029,            0.032382,           0.0064324,           0.0083665,           0.0083665,           0.0083665
